,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
89,dhmix_2271922176351407084,298.15,101.0,Liquid,2,CCCCCCN,Solvent,0.4997,,CN(C)C=O,Solvent,0.5003,,0.661,0.02,,,10.1016/j.fluid.2019.112283
90,dens_680086766431069719,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.2091,,O,Solvent,0.7908999999999999,,,,1.0013300000000005,4.000000000000001e-05,10.1016/j.jct.2011.06.020
91,dhmix_979415629850644100,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.1998,,O,Solvent,0.8002,,-4.495,0.048,,,10.1016/j.jct.2015.06.006
92,dhmix_1386641258873877278,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.7926,,O,Solvent,0.2074,,-1.753,0.019,,,10.1016/j.jct.2015.06.006
93,dhmix_1572121970391530461,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.55,,O,Solvent,0.4499999999999999,,-3.547,0.038,,,10.1016/j.jct.2015.06.006
94,dens_1756096179620961699,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.5109,,O,Solvent,0.4891,,,,0.9464100000000002,7.000000000000002e-05,10.1016/j.jct.2011.06.020
95,dens_1892970147583328629,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.7065,,O,Solvent,0.2935,,,,0.9223100000000002,8.500000000000002e-05,10.1016/j.jct.2011.06.020
96,dens_860008765681738590,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.23126,,c1ccncc1,Solvent,0.76874,,,,0.9906030000000002,0.0001015,10.1021/je400184t
97,dens_1253280811379348869,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.6699999999999999,,c1ccncc1,Solvent,0.33,,,,1.0161020000000005,0.000102,10.1021/je400184t
98,dhmix_1381513140604048573,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.4737599999999999,,c1ccncc1,Solvent,0.52624,,-0.093,0.001,,,10.1021/je400184t
99,dens_1460709448836415360,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.47353,,c1ccncc1,Solvent,0.52647,,,,1.0044450000000005,0.0001015,10.1021/je400184t
100,dhmix_2085036308089359597,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.2306099999999999,,c1ccncc1,Solvent,0.76939,,-0.032,0.001,,,10.1021/je400184t
101,dhmix_2287943921901918379,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.6695800000000001,,c1ccncc1,Solvent,0.33042,,-0.12,0.0015,,,10.1021/je400184t
